Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,20.0,0.14,0.000135503,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
S,11.0,0.12,-5.73535e-05,0,0,0,0,0,0,0,0,0,364,36,0,0,0,0,0,0,0,0,0
H,2.0,0.15,-0.0642398,0,0,0,0,0,16,11,15,74,180,56,46,2,0,0,0,0,0,0,0
H,16.0,0.17,0.162881,0,0,0,0,0,0,0,0,14,81,58,80,54,84,26,3,0,0,0,0
S,6.0,0.11,-4.21194e-05,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
H,12.0,0.02,0.0683539,0,0,0,0,3,46,45,3,7,19,48,54,74,47,52,2,0,0,0,0
S,7.0,0.07,-0.000286463,0,0,0,0,0,0,0,0,0,382,18,0,0,0,0,0,0,0,0,0
H,2.0,0.0,0.257158,0,0,0,0,0,0,0,0,6,26,22,60,113,98,75,0,0,0,0,0
S,8.0,0.08,0.000353401,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
S,4.0,0.13,-0.000169402,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
H,14.0,0.0,-0.0967766,0,0,0,0,0,0,6,104,124,68,53,31,11,3,0,0,0,0,0,0
H,9.0,0.07,0.198086,0,0,0,0,0,0,0,0,0,35,70,110,63,87,35,0,0,0,0,0
S,19.0,0.15,-1.17233e-05,0,0,0,0,0,0,0,0,0,369,31,0,0,0,0,0,0,0,0,0
S,2.0,0.1,5.77218e-06,0,0,0,0,0,0,0,0,0,384,16,0,0,0,0,0,0,0,0,0
S,16.0,0.17,-0.000435033,0,0,0,0,0,0,0,0,0,361,39,0,0,0,0,0,0,0,0,0
S,12.0,0.16,2.65973e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
S,19.0,0.08,4.94115e-05,0,0,0,0,0,0,0,0,0,386,14,0,0,0,0,0,0,0,0,0
S,20.0,0.01,-5.00686e-05,0,0,0,0,0,0,0,0,0,970,30,0,0,0,0,0,0,0,0,0
H,4.0,0.19,0.0693053,0,0,0,0,2,5,0,6,37,62,105,104,63,16,0,0,0,0,0,0
H,3.0,0.02,-0.106693,0,0,0,0,0,3,32,117,80,75,26,37,24,6,0,0,0,0,0,0
S,5.0,0.11,0.000248652,0,0,0,0,0,0,0,0,0,378,22,0,0,0,0,0,0,0,0,0
H,16.0,0.19,0.0556917,0,0,0,0,0,0,0,32,48,76,90,57,57,37,3,0,0,0,0,0
H,14.0,0.12,-0.0911113,0,0,0,0,0,0,19,75,102,88,88,28,0,0,0,0,0,0,0,0
H,15.0,0.01,-0.0827998,0,0,0,0,2,42,175,215,75,82,138,147,75,28,21,0,0,0,0,0
H,3.0,0.16,-0.0501905,0,0,0,0,1,18,114,83,47,3,3,0,13,22,88,8,0,0,0,0
H,14.0,0.07,-0.182499,0,0,0,0,0,23,84,122,72,27,33,26,13,0,0,0,0,0,0,0
H,7.0,0.03,-0.304901,0,0,0,0,0,88,183,63,10,44,12,0,0,0,0,0,0,0,0,0
H,17.0,0.18,0.16126,0,0,0,0,0,0,0,0,9,60,72,97,73,78,11,0,0,0,0,0
H,11.0,0.08,-0.164234,0,0,0,0,0,91,39,40,54,71,70,20,11,2,2,0,0,0,0,0
H,13.0,0.05,-0.284019,0,0,0,0,4,105,115,88,36,11,25,16,0,0,0,0,0,0,0,0
S,3.0,0.19,-0.000278346,0,0,0,0,0,0,0,0,0,363,37,0,0,0,0,0,0,0,0,0
H,18.0,0.12,0.0539882,0,0,0,0,0,0,7,32,35,61,117,58,53,35,2,0,0,0,0,0
S,16.0,0.1,0.000132481,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
H,4.0,0.09,0.0194767,0,0,0,0,0,0,6,28,53,104,111,33,33,30,2,0,0,0,0,0
H,1.0,0.09,0.191948,0,0,0,0,0,0,0,0,21,34,62,99,67,64,52,1,0,0,0,0
S,20.0,0.04,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
H,14.0,0.1,0.192676,0,0,0,0,0,0,0,3,41,14,23,81,153,53,28,4,0,0,0,0
H,13.0,0.02,-0.246435,0,0,0,0,0,23,120,117,95,45,0,0,0,0,0,0,0,0,0,0
S,11.0,0.19,-0.00028628,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
S,13.0,0.1,-0.00010996,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
H,8.0,0.07,0.109993,0,0,0,0,0,0,0,8,13,78,94,93,65,48,1,0,0,0,0,0
S,4.0,0.11,-0.000145526,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
S,8.0,0.13,0.000497169,0,0,0,0,0,0,0,0,0,354,46,0,0,0,0,0,0,0,0,0
H,16.0,0.07,0.0906195,0,0,0,0,0,0,0,2,17,76,103,131,61,8,2,0,0,0,0,0
H,19.0,0.02,-0.145915,0,0,0,0,0,64,76,52,46,63,33,20,19,11,14,2,0,0,0,0
H,5.0,0.12,-0.173771,0,0,0,0,0,1,113,87,76,30,79,14,0,0,0,0,0,0,0,0
S,3.0,0.16,0.000189726,0,0,0,0,0,0,0,0,0,358,42,0,0,0,0,0,0,0,0,0
H,15.0,0.05,-0.191203,0,0,0,0,4,38,63,90,68,102,28,7,0,0,0,0,0,0,0,0
H,20.0,0.0,0.109337,0,0,0,0,0,0,0,17,57,112,22,12,62,100,18,0,0,0,0,0
S,18.0,0.17,-0.000133014,0,0,0,0,0,0,0,0,0,376,24,0,0,0,0,0,0,0,0,0
H,12.0,0.19,0.233233,0,0,0,0,0,0,0,0,0,32,61,79,60,105,59,4,0,0,0,0
H,20.0,0.2,0.135728,0,0,0,0,0,0,0,0,0,20,155,129,48,36,12,0,0,0,0,0
H,10.0,0.13,0.234011,0,0,0,0,0,0,0,0,0,0,68,81,116,115,20,0,0,0,0,0
S,2.0,0.13,-0.000309196,0,0,0,0,0,0,0,0,0,372,28,0,0,0,0,0,0,0,0,0
H,9.0,0.14,-0.170267,0,0,0,0,0,4,5,165,136,76,14,0,0,0,0,0,0,0,0,0
