Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,10.0,0.8,0.321243,0,0,0,0,0,0,0,0,0,0,0,0,110,196,22,0,0,0,0,0
S,6.0,0.2,0.259028,0,0,0,0,0,0,0,0,0,0,0,6,115,33,0,0,0,0,0,0
S,5.0,0.3,0.266426,0,0,0,0,0,0,0,0,0,0,0,5,137,46,0,0,0,0,0,0
H,10.0,0.9,0.698417,0,0,0,0,0,0,0,0,0,0,0,0,0,9,92,89,15,27,37,131
H,11.0,1.0,0.550154,0,0,0,0,0,0,0,0,0,0,0,7,37,85,44,66,78,9,44,30
S,18.0,0.7,0.32461,0,0,0,0,0,0,0,0,0,0,0,0,148,81,51,8,0,0,0,0
H,6.0,1.0,0.786736,0,0,0,0,0,0,0,0,0,0,0,0,3,10,26,24,16,92,117,112
S,2.0,0.5,0.34575,0,0,0,0,0,0,0,0,0,0,0,2,58,130,41,0,0,0,0,0
H,6.0,0.9,0.515584,0,0,0,0,0,0,0,0,0,0,4,11,55,80,12,65,100,50,20,3
H,20.0,0.8,0.849181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,76,108,162
S,19.0,1.0,0.611695,0,0,0,0,0,0,0,0,0,0,0,0,3,38,73,58,86,124,18,0
H,4.0,0.2,-0.506239,0,0,0,25,193,160,22,0,0,0,0,0,0,0,0,0,0,0,0,0
H,10.0,0.6,0.65946,0,0,0,0,0,0,0,0,0,0,0,0,14,28,22,68,95,73,76,24
H,19.0,0.7,0.81007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,70,116,78,122
S,9.0,0.3,0.272586,0,0,0,0,0,0,0,0,0,0,0,8,104,61,0,0,0,0,0,0
S,6.0,0.5,0.310867,0,0,0,0,0,0,0,0,0,0,0,2,138,82,34,2,0,0,0,0
S,14.0,0.4,0.289971,0,0,0,0,0,0,0,0,0,0,0,9,85,83,1,0,0,0,0,0
S,8.0,0.0,-0.977747,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,16.0,0.0,-0.465139,0,0,0,7,107,219,67,0,0,0,0,0,0,0,0,0,0,0,0,0
S,10.0,0.9,0.390001,0,0,0,0,0,0,0,0,0,0,0,1,58,156,91,54,0,0,0,0
S,1.0,0.0,-0.976419,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,10.0,0.3,0.726192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,115,79,98,34
H,5.0,0.8,0.800833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,170,108,70
S,11.0,0.4,0.273514,0,0,0,0,0,0,0,0,0,0,0,7,127,54,0,0,0,0,0,0
H,2.0,0.0,-0.514445,0,0,7,28,218,119,25,3,0,0,0,0,0,0,0,0,0,0,0,0
H,14.0,0.0,-0.495834,0,0,0,8,207,165,18,2,0,0,0,0,0,0,0,0,0,0,0,0
S,2.0,0.1,-0.968861,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,2.0,0.3,0.264088,0,0,0,0,0,0,0,0,0,0,0,2,137,17,0,0,0,0,0,0
S,7.0,0.6,0.321411,0,0,0,0,0,0,0,0,0,0,0,0,74,146,16,0,0,0,0,0
S,14.0,0.9,0.608458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,144,102,51,11,2
S,7.0,1.0,0.592588,0,0,0,0,0,0,0,0,0,0,0,0,18,48,71,31,86,142,4,0
H,15.0,0.6,0.845628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,104,72,172
S,4.0,1.0,0.789063,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,35,4,25,164,114
S,16.0,0.8,0.323075,0,0,0,0,0,0,0,0,0,0,0,4,128,165,15,15,0,0,0,0
S,12.0,1.0,0.485943,0,0,0,0,0,0,0,0,0,0,0,0,92,100,56,25,52,16,51,8
H,13.0,0.6,0.254476,0,0,0,0,0,0,0,0,0,0,24,125,119,75,45,12,0,0,0,0
