Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
S,6.0,0.2,0.259028,0,0,0,0,0,0,0,0,0,0,0,6,115,33,0,0,0,0,0,0
H,4.0,0.2,-0.506239,0,0,0,25,193,160,22,0,0,0,0,0,0,0,0,0,0,0,0,0
H,20.0,0.2,0.806958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,135,147,64
H,18.0,0.2,0.330715,0,0,0,0,0,0,0,0,0,0,9,38,137,91,84,41,0,0,0,0
S,13.0,0.2,0.238239,0,0,0,0,0,0,0,0,0,0,0,18,118,9,0,0,0,0,0,0
H,11.0,0.2,0.28824,0,0,0,0,0,0,0,0,0,4,71,63,40,104,84,34,0,0,0,0
S,15.0,0.2,0.274556,0,0,0,0,0,0,0,0,0,0,0,8,114,46,0,0,0,0,0,0
S,8.0,0.2,0.258517,0,0,0,0,0,0,0,0,0,0,0,14,125,35,0,0,0,0,0,0
H,9.0,0.2,0.648461,0,0,0,0,0,0,0,0,0,1,6,11,11,17,70,118,16,0,24,126
S,16.0,0.2,0.240174,0,0,0,0,0,0,0,0,0,0,0,9,108,4,0,0,0,0,0,0
S,4.0,0.2,-0.961758,222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,14.0,0.2,0.285062,0,0,0,0,0,0,0,0,0,0,0,0,81,35,0,0,0,0,0,0
S,12.0,0.2,0.30502,0,0,0,0,0,0,0,0,0,0,0,0,90,54,18,0,0,0,0,0
S,9.0,0.2,0.264853,0,0,0,0,0,0,0,0,0,0,0,4,112,35,0,0,0,0,0,0
H,10.0,0.2,0.498323,0,0,0,0,0,0,0,0,0,0,0,21,24,96,65,87,58,13,22,14
H,13.0,0.2,0.540136,0,0,0,0,0,0,0,0,0,0,0,19,41,45,57,91,42,49,56,0
S,17.0,0.2,0.26256,0,0,0,0,0,0,0,0,0,0,0,5,95,27,0,0,0,0,0,0
S,7.0,0.2,0.280345,0,0,0,0,0,0,0,0,0,0,0,3,108,56,0,0,0,0,0,0
H,5.0,0.2,0.307048,0,0,0,0,0,0,0,0,0,1,15,75,79,130,99,1,0,0,0,0
S,20.0,0.2,0.290777,0,0,0,0,0,0,0,0,0,0,0,6,77,74,0,0,0,0,0,0
S,18.0,0.2,0.246543,0,0,0,0,0,0,0,0,0,0,0,4,112,4,0,0,0,0,0,0
H,7.0,0.2,0.852178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,48,49,76,204
H,2.0,0.2,0.77874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,93,130,108,56
H,15.0,0.2,0.86761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96,146,153
S,2.0,0.2,0.254154,0,0,0,0,0,0,0,0,0,0,0,3,148,12,0,0,0,0,0,0
S,5.0,0.2,0.27332,0,0,0,0,0,0,0,0,0,0,0,0,81,32,0,0,0,0,0,0
S,11.0,0.2,0.281413,0,0,0,0,0,0,0,0,0,0,0,4,67,37,0,0,0,0,0,0
H,14.0,0.2,0.23011,0,0,0,0,0,0,0,0,0,2,147,78,29,32,63,48,1,0,0,0
S,10.0,0.2,0.250457,0,0,0,0,0,0,0,0,0,0,0,4,127,9,0,0,0,0,0,0
H,19.0,0.2,-0.497694,0,0,0,37,157,175,31,0,0,0,0,0,0,0,0,0,0,0,0,0
H,12.0,0.2,0.909584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,163,226
H,1.0,0.2,0.306683,0,0,0,0,0,0,0,0,0,8,89,73,30,49,69,22,57,3,0,0
H,3.0,0.2,0.856105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,73,111,178
S,19.0,0.2,-0.965817,230,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,3.0,0.2,0.278497,0,0,0,0,0,0,0,0,0,0,0,5,100,57,0,0,0,0,0,0
H,17.0,0.2,0.372426,0,0,0,0,0,0,0,0,0,0,3,81,89,62,36,90,24,15,0,0
H,6.0,0.2,0.690346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,122,151,38,7
H,8.0,0.2,0.838611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,77,132,139
S,1.0,0.2,0.262914,0,0,0,0,0,0,0,0,0,0,0,0,92,15,0,0,0,0,0,0
H,16.0,0.2,0.323876,0,0,0,0,0,0,0,0,0,3,122,74,54,29,30,0,0,8,60,20
